Iestādes nosaukums;Veids;Tips;Dibinātājs;Likvidēta;Akreditēta;Reģistrācijas numurs;Pakļautība;Atrašanās vieta
"Saulkrastu pirmsskolas izglītības iestāde ""Rūķītis""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Saulkrastu novada pašvaldība";"Nē";"Nē";"4401901862";"Pašvaldība ";"-Nav norādīts-"
"Strenču pirmsskolas izglītības iestāde ""Minkāns""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Valmieras novada pašvaldība";"Nē";"Nē";"4401901408";"Pašvaldība ";"-Nav norādīts-"
"Rīgas 193. pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Rīgas valstspilsētas pašvaldība";"Nē";"Nē";"3601901956";"Pašvaldība ";"-Nav norādīts-"
"Priekules pirmsskolas izglītības iestāde ""Dzirnaviņas""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Dienvidkurzemes novada pašvaldība";"Nē";"Nē";"4101901733";"Pašvaldība ";"-Nav norādīts-"
"Rundāles pirmsskolas izglītības iestāde ""Mārpuķīte""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Bauskas novada pašvaldība";"Nē";"Nē";"4501901907";"Pašvaldība ";"-Nav norādīts-"
"Rīgas 180. pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Rīgas valstspilsētas pašvaldība";"Nē";"Nē";"3701901901";"Pašvaldība ";"-Nav norādīts-"
"Rīgas 106. pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Rīgas valstspilsētas pašvaldība";"Nē";"Nē";"3701901852";"Pašvaldība ";"-Nav norādīts-"
"Neretas pirmsskolas izglītības iestāde ""Ziediņš""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Aizkraukles novada pašvaldība";"Nē";"Nē";"4501901606";"Pašvaldība ";"NERETAS NOVADS"
"Privātā pirmsskola Patnis";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""Patnis un partneri""";"Nē";"Nē";"3501802798";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Privātā pirmsskolas izglītības iestāde ""Maziņš kā jūra""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"SIA ""Skolmeistars""";"Nē";"Nē";"3701802741";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Auru pirmsskolas izglītības iestāde ""Auriņš""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Dobeles novada pašvaldība";"Nē";"Nē";"4501902753";"Pašvaldība ";"DOBELES NOVADS"
"Pirmsskolas izglītības iestāde ""Zeltrīti""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Mārupes novada pašvaldība";"Nē";"Nē";"4301902806";"Pašvaldība ";"-Nav norādīts-"
"Pirmsskolas izglītības iestāde ""Ketes māja""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""Ketes māja""";"Nē";"Nē";"3401802820";"Juridiska vai fiziska persona";"-Nav norādīts-"
