Iestādes nosaukums;Veids;Tips;Dibinātājs;Likvidēta;Akreditēta;Reģistrācijas numurs;Pakļautība;Atrašanās vieta
"Valmieras Viestura vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Valmieras novada pašvaldība";"Nē";"Jā";"2513900631";"Pašvaldība ";"-Nav norādīts-"
"Rīgas 92. vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3613900679";"Pašvaldība ";"RĪGA"
"Rīgas Ķengaraga vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3613900680";"Pašvaldība ";"-Nav norādīts-"
"Mežciema pamatskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā pamatskola";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3712900760";"Pašvaldība ";"-Nav norādīts-"
"Privātā vidusskola Ādažu Brīvā Valdorfa skola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Biedrība ""Privātā vidusskola ĀBVS""";"Nē";"Jā";"4313800383";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Ludzas 2. vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Ludzas novada pašvaldība";"Nē";"Jā";"4213900475";"Pašvaldība ";"LUDZA"
"Rīgas Angļu ģimnāzija";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3813900699";"Pašvaldība ";"-Nav norādīts-"
"Talsu pamatskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā pamatskola";"Talsu novada pašvaldība";"Nē";"Jā";"4112900593";"Pašvaldība ";"TALSI"
"Rīgas 47. vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3813900728";"Pašvaldība ";"RĪGA"
"Aizupes pamatskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā pamatskola";"Jelgavas novada pašvaldība";"Nē";"Jā";"4512900847";"Pašvaldība ";"-Nav norādīts-"
"Ozolnieku vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Jelgavas novada pašvaldība";"Nē";"Jā";"4513900856";"Pašvaldība ";"-Nav norādīts-"
"Pastendes pamatskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā pamatskola";"Talsu novada pašvaldība";"Nē";"Jā";"4112900595";"Pašvaldība ";"TALSU NOVADS"
"Lībagu sākumskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā sākumskola";"Talsu novada pašvaldība";"Nē";"Jā";"4111900602";"Pašvaldība ";"-Nav norādīts-"
"Rīgas 25. vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3613900678";"Pašvaldība ";"-Nav norādīts-"
"Rīgas Teikas vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3713900746";"Pašvaldība ";"-Nav norādīts-"
"Rīgas Purvciema vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3713900749";"Pašvaldība ";"-Nav norādīts-"
"Rīgas 80. vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3713900753";"Pašvaldība ";"RĪGA"
"Mērsraga vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Talsu novada pašvaldība";"Nē";"Jā";"4113900624";"Pašvaldība ";"-Nav norādīts-"
"Garozas pamatskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā pamatskola";"Jelgavas novada pašvaldība";"Nē";"Jā";"4512900860";"Pašvaldība ";"-Nav norādīts-"
"Rojas vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Talsu novada pašvaldība";"Nē";"Jā";"4113900619";"Pašvaldība ";"-Nav norādīts-"
"Rīgas 86. vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3613900683";"Pašvaldība ";"-Nav norādīts-"
"Rīgas 6. vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3613900684";"Pašvaldība ";"-Nav norādīts-"
"Rīgas 64. vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3713900756";"Pašvaldība ";"-Nav norādīts-"
"Rīgas 34. vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3513900765";"Pašvaldība ";"RĪGA"
