Iestādes nosaukums;Veids;Tips;Dibinātājs;Likvidēta;Akreditēta;Reģistrācijas numurs;Pakļautība;Atrašanās vieta
"Auces Mūzikas un mākslas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas un mākslas skola";"Dobeles novada pašvaldība";"Nē";"Jā";"4574903538";"Pašvaldība ";"-Nav norādīts-"
"Privātā mākslu skola Kultūras Patnis";"Profesionālās ievirzes izglītības iestāde";"Mūzikas un mākslas skola";"Sabiedrība ar ierobežotu atbildību ""Brāļi un māsas""";"Nē";"Jā";"3374803411";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Inčukalna Mūzikas un mākslas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas un mākslas skola";"Siguldas novada pašvaldība";"Nē";"Jā";"4374903469";"Pašvaldība ";"-Nav norādīts-"
"Privātā Mūzikas skola ""Poprokskola""";"Profesionālās ievirzes izglītības iestāde";"Mūzikas skola";"SIA ""Api""";"Nē";"Nē";"3076803565";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Krāslavas novada Mūzikas un mākslas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas un mākslas skola";"Krāslavas novada pašvaldība";"Nē";"Jā";"4274903525";"Pašvaldība ";"KĀRSAVAS NOVADS"
"RODRIGO LAVIŅA HOKEJA SKOLA";"Profesionālās ievirzes izglītības iestāde";"Sporta skola";"""R.LAVIŅA sporta studija""";"Nē";"Nē";"4371803557";"Juridiska vai fiziska persona";"MĀRUPES NOVADS"
"Mārupes novada Sporta skola";"Profesionālās ievirzes izglītības iestāde";"Sporta skola";"Mārupes novada pašvaldība";"Nē";"Jā";"4371903621";"Pašvaldība ";"-Nav norādīts-"
"Profesionālās ievirzes sporta izglītības iestāde ""Telpu futbola skola""";"Profesionālās ievirzes izglītības iestāde";"Sporta skola";"TFS Stars";"Nē";"Nē";"3371803632";"Juridiska vai fiziska persona";"RĪGA"
"Profesionālās ievirzes izglītības iestāde ""Basketbola skola ""Garkalne""""";"Profesionālās ievirzes izglītības iestāde";"Sporta skola";"Basketbola klubs ""Garkalne""";"Nē";"Jā";"4371803656";"Juridiska vai fiziska persona";"-Nav norādīts-"
"""Daiļslidošanas sporta skola ""KASKADS""""";"Profesionālās ievirzes izglītības iestāde";"Sporta skola";"Veselības uzlabošanas klubs ""KASKADS""";"Nē";"Jā";"3371803497";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Profesionālās ievirzes sporta izglītības iestāde ""Handbola skola""";"Profesionālās ievirzes izglītības iestāde";"Sporta skola";"""Handbola skola""";"Nē";"Nē";"3371803616";"Juridiska vai fiziska persona";"RĪGA"
"Sporta skola ""FK Salaspils""";"Profesionālās ievirzes izglītības iestāde";"Sporta skola";"""FK Salaspils""";"Nē";"Nē";"4371803663";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Daugavpils valstspilsētas pašvaldības profesionālās ievirzes sporta izglītības iestāde ""Daugavpils Sporta skola""";"Profesionālās ievirzes izglītības iestāde";"Sporta skola";"Daugavpils valstspilsētas pašvaldība";"Nē";"Jā";"2771903630";"Pašvaldība ";"DAUGAVPILS"
"Deju skola ""Dreamteam""";"Profesionālās ievirzes izglītības iestāde";"Deju skola";"SIA DREAMTEAM DANCE";"Nē";"Nē";"3372803650";"Juridiska vai fiziska persona";"RĪGA"
