Iestādes nosaukums;Veids;Tips;Dibinātājs;Likvidēta;Akreditēta;Reģistrācijas numurs;Pakļautība;Atrašanās vieta
"MC Alfa - mācību centrs";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"SIA ""001A""";"Nē";"Jā";"3361802462";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Dobeles Pieaugušo izglītības un uzņēmējdarbības atbalsta centrs";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"Dobeles novada pašvaldība";"Nē";"Nē";"4561902469";"Pašvaldība ";"-Nav norādīts-"
"Profesionālās tālākizglītības centrs ""International House Rīga - Satva""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"Sabiedrība ar ierobežotu atbildību ""SATVA""";"Nē";"Jā";"3361802470";"Juridiska vai fiziska persona";"RĪGA"
"""Apmācību centrs Magnetic Professional"" profesionālās tālākizglītības centrs";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"Sabiedrība ar ierobežotu atbildību Magnetic Professional";"Nē";"Jā";"3361802476";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Profesionālās tālākizglītības centrs ""Pārvaldnieku izglītības iestāde""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"Sabiedrība ar ierobežotu atbildību ""Force Lex""";"Nē";"Jā";"4161802483";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Profesionālās tālākizglītības centrs ""alter ego""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"SIA ""Alter Ego""";"Nē";"Jā";"4361802494";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Profesionālās tālākizglītības centrs ""ZERKO""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"Sabiedrība ar ierobežotu atbildību ""MĀCĪBU RAŽOŠANAS KOMBINĀTS ""ZERKO""""";"Nē";"Jā";"3361802495";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Profesionālās tālākizglītības centrs ""Iespējamā misija""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"Nodibinājums ""Iespējamā misija""";"Nē";"Nē";"3361802501";"Juridiska vai fiziska persona";"RĪGA"
"Profesionālās tālākizglītības centrs ""Mācību centrs BIZNESA EKSPERTS""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"SIA ""BIZNESA KONSALTINGA GRUPA""";"Nē";"Jā";"3361802509";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Profesionālās tālākizglītības centrs ""LATINSOFT""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"Sabiedrība ar ierobežotu atbildību ""LATINSOFT""";"Nē";"Jā";"2761802384";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Profesionālās tālākizglītības centrs ""Austrumi""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"Sabiedrība ar ierobežotu atbildību ""MĀCĪBU CENTRS AUSTRUMI""";"Nē";"Jā";"3161802393";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Profesionālās tālākizglītības centrs ""Marine Training""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"SIA ""Marine Training""";"Nē";"Jā";"3361802510";"Juridiska vai fiziska persona";"RĪGA"
"Profesionālās tālākizglītības centrs ""Drošam darbam""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"Sabiedrība ar ierobežotu atbildību ""Guna BSK""";"Nē";"Nē";"4561802516";"Juridiska vai fiziska persona";"BAUSKAS NOVADS"
"Profesionālās tālākizglītības centrs ""Dzemdību atbalsta skola""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"SIA ""Ģimenes veselības centrs ""STĀRĶA LIGZDA""""";"Nē";"Jā";"3361802523";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Profesionālās tālākizglītības centrs ""Aslimnīcas Mācību centrs""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"SIA ""Rīgas Austrumu klīniskā universitātes slimnīca""";"Nē";"Nē";"3361802534";"Juridiska vai fiziska persona";"RĪGA"
"Profesionālās tālākizglītības iestāde ""LZRA tālākizglītības centrs""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"Sabiedrība ar ierobežotu atbildību ""LZRA IZGLĪTĪBAS CENTRS""";"Nē";"Jā";"3361802409";"Juridiska vai fiziska persona";"RĪGA"
"Profesionālās tālākizglītības centrs ""LDZ Mācību centrs""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"Valsts akciju sabiedrība ""Latvijas dzelzceļš""";"Nē";"Jā";"3361802410";"Juridiska vai fiziska persona";"RĪGA"
"Profesionālās tālākizglītības centrs ""AUSTRUMVIDZEME""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"Sabiedrība ar ierobežotu atbildību mācību centrs ""AUSTRUMVIDZEME""";"Nē";"Jā";"4461802411";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Profesionālās tālākizglītības centrs ""Liden Denz Riga""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"SIA LIDEN & DENZ RIGA";"Nē";"Nē";"3361802548";"Juridiska vai fiziska persona";"RĪGA"
"Profesionālās tālākizglītības centrs ""Mācību centrs SG""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"Sabiedrība ar ierobežotu atbildību ""Sunstar Group""";"Nē";"Jā";"3361802549";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Profesionālās tālākizglītības centrs ""IRI mācību centrs""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"SIA ""TENNIS MY LIFE.LV""";"Nē";"Nē";"3361802553";"Juridiska vai fiziska persona";"-Nav norādīts-"
"SIA ""Dialogs AB"" Mācību centrs";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"Sabiedrība ar ierobežotu atbildību ""Dialogs AB""";"Nē";"Jā";"4361802418";"Juridiska vai fiziska persona";"-Nav norādīts-"
