Iestādes nosaukums;Veids;Tips;Dibinātājs;Likvidēta;Akreditēta;Reģistrācijas numurs;Pakļautība;Atrašanās vieta
"Informācijas sistēmu menedžmenta augstskola";"Augstākās izglītības iestāde";"Lietišķo zinātņu universitāte";"Sabiedrība ar ierobežotu atbildību ""Informācijas sistēmu menedžmenta augstskola""";"Nē";"Jā";"3393800183";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Biznesa, mākslas un tehnoloģiju augstskolas ""RISEBA"" Daugavpils filiāle";"Augstākās izglītības iestāde";"Latvijas augstskolas filiāle";"SIA ""Biznesa, mākslas un tehnoloģiju augstskola ""RISEBA""""";"Nē";"Jā";"2795802315";"Juridiska vai fiziska persona";"DAUGAVPILS"
"Sabiedrība ar ierobežotu atbildību ""Rīgas Juridiskā augstskola""";"Augstākās izglītības iestāde";"Lietišķo zinātņu augstskola";"Latvijas Universitāte";"Nē";"Jā";"3394802425";"Juridiska vai fiziska persona";"RĪGA"
"Transporta un sakaru institūts";"Augstākās izglītības iestāde";"Lietišķo zinātņu augstskola";"Akciju sabiedrība ""Transporta un sakaru institūts""";"Nē";"Jā";"3394801782";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Vidzemes Augstskola";"Augstākās izglītības iestāde";"Lietišķo zinātņu augstskola";"Latvijas Republikas Ministru kabinets";"Nē";"Jā";"2594001659";"Izglītības un zinātnes ministrija";"-Nav norādīts-"
"Biznesa augstskolas Turība Cēsu filiāle";"Augstākās izglītības iestāde";"Latvijas augstskolas filiāle";"SIA ""Biznesa augstskola Turība""";"Nē";"Jā";"4495802385";"Juridiska vai fiziska persona";"CĒSIS"
"Biznesa augstskolas Turība Ziemeļkurzemes filiāle";"Augstākās izglītības iestāde";"Latvijas augstskolas filiāle";"SIA ""Biznesa augstskola Turība""";"Nē";"Jā";"4195802387";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Latvijas Biozinātņu un tehnoloģiju universitāte";"Augstākās izglītības iestāde";"Zinātnes universitāte";"Latvijas Republikas Ministru kabinets";"Nē";"Jā";"2891101568";"Zemkopības ministrija";"-Nav norādīts-"
"Rīgas Aeronavigācijas institūta Daugavpils filiāle";"Augstākās izglītības iestāde";"Latvijas augstskolas filiāle";"Akciju sabiedrība ""RĪGAS AERONAVIGĀCIJAS INSTITŪTS""";"Nē";"Jā";"2795802480";"Juridiska vai fiziska persona";"DAUGAVPILS"
"Biznesa augstskola Turība";"Augstākās izglītības iestāde";"Lietišķo zinātņu universitāte";"Aigars Rostovskis";"Nē";"Jā";"3393800213";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Daugavpils Universitātes Rīgas filiāle";"Augstākās izglītības iestāde";"Latvijas augstskolas filiāle";"Daugavpils Universitāte";"Nē";"Jā";"3395002377";"Izglītības un zinātnes ministrija";"RĪGA"
"Informācijas sistēmu menedžmenta augstskolas Latgales filiāle";"Augstākās izglītības iestāde";"Latvijas augstskolas filiāle";"Sabiedrība ar ierobežotu atbildību ""Informācijas sistēmu menedžmenta augstskola""";"Nē";"Jā";"2795802395";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Rīgas Aeronavigācijas institūta Rēzeknes filiāle";"Augstākās izglītības iestāde";"Latvijas augstskolas filiāle";"Akciju sabiedrība ""RĪGAS AERONAVIGĀCIJAS INSTITŪTS""";"Nē";"Jā";"3195802481";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Ekonomikas un kultūras augstskola";"Augstākās izglītības iestāde";"Lietišķo zinātņu augstskola";"Sabiedrība ar ierobežotu atbildību ""ALBERTA KOLEDŽA""";"Nē";"Jā";"3394800214";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Rīgas Aeronavigācijas institūts";"Augstākās izglītības iestāde";"Lietišķo zinātņu augstskola";"Akciju sabiedrība ""RĪGAS AERONAVIGĀCIJAS INSTITŪTS""";"Nē";"Jā";"3394801470";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Sabiedrības ar ierobežotu atbildību ""BALTIJAS STARPTAUTISKĀ AKADĒMIJA"" Daugavpils filiāle";"Augstākās izglītības iestāde";"Latvijas augstskolas filiāle";"Sabiedrība ar ierobežotu atbildību ""BALTIJAS STARPTAUTISKĀ AKADĒMIJA""";"Nē";"Jā";"2795801785";"Juridiska vai fiziska persona";"DAUGAVPILS"
